EnsemblID,EnsemblID_base,Symbol,gene_type,HGNC_ID,HGNC_ID_status,HGNC_ID_source,Entrez_ID,Entrez_ID_status,Entrez_ID_source,UniProt_ID,UniProt_ID_status,UniProt_ID_source,OpenTargets_target_ID,OpenTargets_target_ID_status,OpenTargets_target_ID_source,ChEMBL_target_ID,ChEMBL_target_ID_status,ChEMBL_target_ID_source,ChEMBL_mapping_basis,ChEMBL_matched_UniProt_ID,current_HGNC_symbol,symbol_qc_status,one_to_many_fields,ambiguous_mapping,ambiguous_fields,mapping_note
ENSG00000224505.2,ENSG00000224505,AC002117.1,antisense,HGNC:55857,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,112268203,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000224505,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,HEXIM2-AS1,MISMATCH_CURRENT_HGNC,NONE,FALSE,NONE,registry symbol differs from current HGNC symbol; symbol was not used for mapping
ENSG00000255518.1,ENSG00000255518,RP11-148O21.4,antisense,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,NOT_FOUND,NOT_ASSESSED_NO_HGNC_MAPPING,NONE,FALSE,NONE,
ENSG00000278156.1,ENSG00000278156,TSC22D1-AS1,antisense,HGNC:43684,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,641467,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000278156,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,TSC22D1-AS1,MATCH,NONE,FALSE,NONE,
ENSG00000271590.1,ENSG00000271590,RP11-181E10.3,lincRNA,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000271590,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,NOT_FOUND,NOT_ASSESSED_NO_HGNC_MAPPING,NONE,FALSE,NONE,
ENSG00000255213.1,ENSG00000255213,NPM1P35,processed_pseudogene,HGNC:45214,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,100129067,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000255213,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,NPM1P35,MATCH,NONE,FALSE,NONE,
ENSG00000258651.1,ENSG00000258651,RP11-545M17.1,lincRNA,HGNC:53213,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,105370458,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000258651,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,SEC23A-AS1,MISMATCH_CURRENT_HGNC,NONE,FALSE,NONE,registry symbol differs from current HGNC symbol; symbol was not used for mapping
ENSG00000112212.11,ENSG00000112212,TSPO2,protein_coding,HGNC:21256,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,222642,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,Q5TGU0,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000112212,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,TSPO2,MATCH,NONE,FALSE,NONE,
ENSG00000197375.12,ENSG00000197375,SLC22A5,protein_coding,HGNC:10969,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,6584,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,O76082,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000197375,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,CHEMBL2073693,UNIQUE,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,O76082,SLC22A5,MATCH,NONE,FALSE,NONE,
ENSG00000236299.7,ENSG00000236299,RP11-340I6.7,lincRNA,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000236299,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,NOT_FOUND,NOT_ASSESSED_NO_HGNC_MAPPING,NONE,FALSE,NONE,
ENSG00000154710.16,ENSG00000154710,RABGEF1,protein_coding,HGNC:17676,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,27342,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,Q9UJ41,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000154710,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,RABGEF1,MATCH,NONE,FALSE,NONE,
ENSG00000136099.13,ENSG00000136099,PCDH8,protein_coding,HGNC:8660,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,5100,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,O95206,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000136099,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,PCDH8,MATCH,NONE,FALSE,NONE,
ENSG00000229214.1,ENSG00000229214,LINC00242,lincRNA,HGNC:21249,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,401288,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,Q5T6M2,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000229214,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,LINC00242,MATCH,NONE,FALSE,NONE,
ENSG00000279048.1,ENSG00000279048,RP11-511H23.2,TEC,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000279048,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,NOT_FOUND,NOT_ASSESSED_NO_HGNC_MAPPING,NONE,FALSE,NONE,
ENSG00000109445.10,ENSG00000109445,ZNF330,protein_coding,HGNC:15462,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,27309,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,Q9Y3S2,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000109445,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,NOAZFP,MISMATCH_CURRENT_HGNC,NONE,FALSE,NONE,registry symbol differs from current HGNC symbol; symbol was not used for mapping
ENSG00000215126.10,ENSG00000215126,CBWD7,protein_coding,HGNC:31978,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,644019,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,Q4V339,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000215126,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,ZNG1F,MISMATCH_CURRENT_HGNC,NONE,FALSE,NONE,registry symbol differs from current HGNC symbol; symbol was not used for mapping
ENSG00000118096.7,ENSG00000118096,IFT46,protein_coding,HGNC:26146,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,56912,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,Q9NQC8,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000118096,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,IFT46,MATCH,NONE,FALSE,NONE,
