"EnsemblID","Symbol","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000248551.1","RP11-287F9.2","lincRNA",-4.38249254444149,-5.5304691547512,-37.1226611167964,9.65785918099774e-153,2.85930578912619e-148,336.999229377321
"ENSG00000224215.1","RP11-371A19.2","antisense",-5.55622419671393,-3.63360134111278,-35.7695511197444,2.07276272915145e-146,3.0683106679629e-142,323.509028355205
"ENSG00000186994.11","KANK3","protein_coding",-3.02641253695215,2.37203032923298,-35.192035192791,1.11714208393414e-143,1.10247028456514e-139,317.877396082661
"ENSG00000182010.10","RTKN2","protein_coding",-4.70080823595971,3.62980073139095,-34.4965817412819,2.29201186418482e-140,1.69643258127639e-136,310.27104240759
"ENSG00000180440.3","SERTM1","protein_coding",-7.27377788832026,-2.9068925834938,-34.1825344225932,7.30966360448803e-139,4.32819801348945e-135,306.562302487461
"ENSG00000108576.9","SLC6A4","protein_coding",-8.08841367551647,-0.376985723630431,-33.4807524397981,1.7450634316876e-135,8.61072465975717e-132,299.03094467626
"ENSG00000198358.4","RP11-544M22.1","antisense",-6.63836326189587,-3.53418814122059,-33.2056228984896,3.73842611419953e-134,1.58114062195702e-130,295.572584690649
"ENSG00000135604.9","STX11","protein_coding",-3.02420826811358,2.55259629522243,-32.7209204331472,8.43690752883837e-132,3.12228855373486e-128,290.580731544448
"ENSG00000170323.8","FABP4","protein_coding",-5.98039990081604,1.20596964964561,-32.6637928556281,1.60067945269201e-131,5.26552398626664e-128,289.94185729212
"ENSG00000234281.5","LANCL1-AS1","antisense",-4.81112220049144,-2.08345941483835,-32.6122942408195,2.85202314797983e-131,8.44369973190908e-128,289.166000801874
"ENSG00000150625.16","GPM6A","protein_coding",-5.56813104450757,0.174390794242527,-32.3256827040468,7.13674094818477e-130,1.92082138647235e-126,286.15115969108
"ENSG00000158764.6","ITLN2","protein_coding",-7.49045496335903,-1.66862881044509,-32.2249480356052,2.21758489596839e-129,5.47115153583667e-126,284.967848970594
"ENSG00000165312.6","OTUD1","protein_coding",-2.08990054079898,4.03740270236629,-32.0131102820431,2.41459123034623e-128,5.49895292043312e-125,282.618734108733
"ENSG00000244215.1","LINC02016","lincRNA",-5.71789494935631,-4.59656717118,-31.9408481882925,5.45810069057781e-128,1.15423235032319e-124,281.189978533643
"ENSG00000238018.2","AC093110.3","antisense",-2.12381527093663,3.2057744067416,-31.7723079496048,3.66499401030231e-127,7.23372084460068e-124,279.917845964398
