EnsemblID,EnsemblID_base,Symbol,gene_type,HGNC_ID,UniProt_ID,OpenTargets_target_ID,ChEMBL_target_ID,U0_tested,U1_DE,U2_effect_supported_DE,effect_band,biotype_track,retrieval_queue,logFC_S0,FDR_S0,P_value_S0,AveExpr_S0,mean_logCPM_Tumor,mean_logCPM_Normal,logFC_S1,FDR_S1,logFC_S2,FDR_S2,logFC_S3,FDR_S3,logFC_S4,FDR_S4,logFC_S5,FDR_S5,logFC_S6,FDR_S6,sign_S0,sign_concordant_S1_S6_count,sign_concordant_all_S1_S6,n_sensitivity_FDR05,median_abs_delta_logFC_vs_S0,max_abs_delta_logFC_vs_S0,S6_sign_flip_vs_S0,model_dependent_any_top50,model_dependent_models,reduced_residual_df_any,reduced_residual_df_models,max_residual_df_loss
ENSG00000151090.17,ENSG00000151090,THRB,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,B,canonical_protein_target,QUEUE_A_CANONICAL,-1.51410064095245,1.86563800898263e-16,2.83821981775917e-17,2.71384370528956,2.5593270691328,4.16697326881509,-1.571899364764,2.37964356841316e-15,-1.5603847346151,2.88821171449226e-21,-1.6443222772938,2.37709364515756e-17,-1.5666040106579,3.69667903963617e-14,-1.49847814577789,3.76741850956761e-28,-1.14342271998557,6.19465691356509e-10,DOWN,6,TRUE,6,0.055151046758500022,0.37067792096688001,FALSE,FALSE,,FALSE,,0
ENSG00000151388.10,ENSG00000151388,ADAMTS12,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,B,canonical_protein_target,QUEUE_A_CANONICAL,1.71613052784152,1.8824205747436e-16,2.86438718138888e-17,3.88646900265001,4.02716403853427,2.69316106033919,1.63522712200956,3.98156118751821e-13,1.49739457031016,2.57434533278698e-12,1.62271047348711,2.73320207984808e-14,1.80081397774282,3.5759662387047e-17,1.77504847232057,1.12540675502963e-26,2.06426432957366,6.78326591136365e-14,UP,6,TRUE,6,0.089051752127854988,0.34813380173214004,FALSE,FALSE,,FALSE,,0
ENSG00000188153.12,ENSG00000188153,COL4A5,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,B,canonical_protein_target,QUEUE_A_CANONICAL,-1.8303026846995,1.89495935873508e-16,2.88410689402833e-17,3.118094494097,2.9420681287571,4.73920800519956,-1.91076664856079,1.42818377125812e-15,-1.75586255996892,2.07556859603115e-20,-1.68948898643778,1.00361466289032e-14,-1.67515990907245,1.89639966141569e-12,-1.90294409681974,2.4281881078803e-30,-1.3832485825103,3.17981467844393e-11,DOWN,6,TRUE,6,0.11063883106150496,0.44705410218920005,FALSE,FALSE,,FALSE,,0
ENSG00000206120.11,ENSG00000206120,EGFEM1P,transcribed_unitary_pseudogene,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,noncanonical_target_modality,QUEUE_C_NONCANONICAL,-2.01191067310734,1.8986348828267e-16,2.89034230118893e-17,-3.96807489468097,-3.43284966259203,-2.00717012596962,-2.0295680158965,1.14171810440017e-14,-1.98380257928156,6.61417081686054e-22,-1.87576513798062,4.34509252092224e-16,-1.89610724278417,2.33822642604439e-13,-1.9699610319319,1.01434657656228e-22,-1.68922502807234,8.97608150259272e-10,DOWN,6,TRUE,6,0.078876535749304866,0.32268564503499997,FALSE,FALSE,,TRUE,S3;S4,1
ENSG00000159479.16,ENSG00000159479,MED8,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,C,canonical_protein_target,QUEUE_A_CANONICAL,0.526213784534558,1.93356537095527e-16,2.94417101002039e-17,5.22840049079923,5.28215439323589,4.76867450480945,0.547395582832606,3.85627890547686e-15,0.500883658056693,5.71454398323622e-16,0.512295850376677,7.64828113470378e-16,0.521279895176663,3.79365372013455e-15,0.54459887485425,7.58645337194116e-28,0.506404554089952,5.51445436523527e-12,UP,6,TRUE,6,0.019097160382148981,0.025330126477865034,FALSE,FALSE,,FALSE,,0
ENSG00000139146.13,ENSG00000139146,FAM60A,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,C,canonical_protein_target,QUEUE_A_CANONICAL,0.941118382347149,1.93633494769246e-16,2.94904218035036e-17,5.92370482066834,6.00044396042613,5.26029478097898,0.943139162388253,2.71165936163302e-14,0.791911440280349,2.25980675530882e-12,0.85052829852312,3.6336749799211e-14,0.94276250248785,1.0957772161881e-15,0.927070291134186,3.09399939742988e-27,0.967057085326644,5.4607423310397e-12,UP,6,TRUE,6,0.019993397096228993,0.14920694206679996,FALSE,FALSE,,FALSE,,0
ENSG00000123297.17,ENSG00000123297,TSFM,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,C,canonical_protein_target,QUEUE_A_CANONICAL,0.797591573459239,1.93773716160002e-16,2.95183226333044e-17,4.6947356775845,4.77408075745508,4.01646321273404,0.826627176547854,4.49276043326032e-15,0.745795460770553,9.49811392418969e-15,0.781254474197935,1.07498498647858e-16,0.772672133298087,1.62837254412997e-15,0.810673014633925,6.11926226015793e-24,0.794926573815041,5.51192791340371e-11,UP,6,TRUE,6,0.020628269711227998,0.051796112688686002,FALSE,FALSE,,FALSE,,0
ENSG00000266495.1,ENSG00000266495,RP11-17J14.2,antisense,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,B,noncanonical_target_modality,QUEUE_C_NONCANONICAL,-1.23839635774316,1.96420696894089e-16,2.9928182249856e-17,1.2344174371086,1.13422562651498,2.30441727070604,-1.22522834272328,5.37560887849272e-14,-1.20740010714946,2.26201497234155e-19,-1.22707155685446,1.76812107778411e-16,-1.24824359493115,7.66415352329345e-15,-1.28660602539306,1.37799066704914e-27,-1.19035782645977,6.72887304988343e-13,DOWN,6,TRUE,6,0.022082132806790056,0.048209667649899979,FALSE,FALSE,,FALSE,,0
ENSG00000217624.2,ENSG00000217624,RP11-204C16.4,processed_pseudogene,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,C,noncanonical_target_modality,QUEUE_C_NONCANONICAL,0.880613555001902,1.96647682838311e-16,2.99694097468912e-17,3.82513841575207,3.88621808123656,3.31996052541007,0.889327319053836,2.08113980795265e-14,0.659409984834257,3.20276517943291e-08,0.700018593609583,1.57058781495158e-09,0.854570782041555,2.51186638405831e-14,0.880626755393619,9.35714901698816e-28,0.918609051698854,7.72313547748297e-14,UP,6,TRUE,6,0.032019134828649487,0.22120357016764503,FALSE,FALSE,,FALSE,,0
ENSG00000102144.13,ENSG00000102144,PGK1,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,C,canonical_protein_target,QUEUE_A_CANONICAL,0.819099044138246,2.0019884659552e-16,3.05173746769433e-17,8.79406713411898,8.85704376447962,8.24523094865281,0.8120522780985,4.28983316024959e-14,0.66909662896242,3.11020867173434e-11,0.6911996977313,7.16325744276425e-12,0.768947737728809,1.44123887686379e-13,0.847340982389873,2.60783931485568e-27,0.863592570874093,8.93605119608564e-11,UP,6,TRUE,6,0.047322416572642023,0.15000241517582602,FALSE,FALSE,,FALSE,,0
