EnsemblID,EnsemblID_base,Symbol,gene_type,HGNC_ID,UniProt_ID,OpenTargets_target_ID,ChEMBL_target_ID,U0_tested,U1_DE,U2_effect_supported_DE,effect_band,biotype_track,retrieval_queue,logFC_S0,FDR_S0,P_value_S0,AveExpr_S0,mean_logCPM_Tumor,mean_logCPM_Normal,logFC_S1,FDR_S1,logFC_S2,FDR_S2,logFC_S3,FDR_S3,logFC_S4,FDR_S4,logFC_S5,FDR_S5,logFC_S6,FDR_S6,sign_S0,sign_concordant_S1_S6_count,sign_concordant_all_S1_S6,n_sensitivity_FDR05,median_abs_delta_logFC_vs_S0,max_abs_delta_logFC_vs_S0,S6_sign_flip_vs_S0,model_dependent_any_top50,model_dependent_models,reduced_residual_df_any,reduced_residual_df_models,max_residual_df_loss
ENSG00000135677.10,ENSG00000135677,GNS,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,FALSE,FALSE,D,canonical_protein_target,NOT_PRIMARY_DE,-0.116782080805637,0.216255863404442,0.175635757466723,7.91405817024201,7.88976294774034,8.12766994242772,-0.110574993283599,0.286092481200553,-0.215660530393226,0.0147460672706101,-0.214337825100166,0.0195093602064738,-0.140516146513419,0.151920084263616,-0.0708517272483729,0.326120104013349,-0.127869789672286,0.150390506839189,DOWN,6,TRUE,2,0.034832209632523058,0.098878449587588998,FALSE,FALSE,,FALSE,,0
ENSG00000224060.3,ENSG00000224060,ARSEP1,transcribed_unprocessed_pseudogene,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,FALSE,FALSE,D,noncanonical_target_modality,NOT_PRIMARY_DE,0.435749243604268,0.216312509981774,0.17568907029054,-3.0577200249647,-2.49238367294095,-3.01228367355885,0.468057611957006,0.229033736468844,0.37515149182462,0.277446840608729,0.205150023532995,0.61125577869285,0.332186607323232,0.39848252037166,0.489775224753791,0.072042957823289,0.7601591205379,0.00504707198600207,UP,6,TRUE,1,0.082080194030341974,0.32440987693363205,FALSE,FALSE,,TRUE,S6,3
ENSG00000175826.11,ENSG00000175826,CTDNEP1,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,FALSE,FALSE,D,canonical_protein_target,NOT_PRIMARY_DE,-0.0664447726503967,0.216321537405711,0.175703709045299,6.11954320362181,6.11217087392952,6.18895830351393,-0.0698680639175207,0.232660159098242,-0.074436545112671,0.15244443196452,-0.0469807486082425,0.390672135005771,-0.0569124382165445,0.306220096688355,-0.0701914311103993,0.0885863773983239,-0.032413217893315,0.648497066976627,DOWN,6,TRUE,0,0.008762053448063252,0.034031554757081695,FALSE,FALSE,,FALSE,,0
ENSG00000133318.13,ENSG00000133318,RTN3,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,FALSE,FALSE,D,canonical_protein_target,NOT_PRIMARY_DE,-0.0853821104148791,0.216525287064183,0.175876515007751,7.23404426112836,7.21921337269726,7.3658944723634,-0.0836834307976053,0.268814323273191,-0.134428288789444,0.0384619260904062,-0.124393696036438,0.0706878507528158,-0.0990828768781018,0.17641773441574,-0.0851768548493155,0.0940161346259928,-0.0777012116934008,0.258751421076945,DOWN,6,TRUE,1,0.010690832592350499,0.049046178374564889,FALSE,FALSE,,FALSE,,0
ENSG00000278182.1,ENSG00000278182,CH17-262O2.2,unprocessed_pseudogene,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,FALSE,FALSE,D,noncanonical_target_modality,NOT_PRIMARY_DE,-0.14569749472164,0.21655617223651,0.175908916642432,-1.31168399237225,-1.23816564720722,-0.99360353167981,-0.157129369599384,0.221563135337077,-0.229970144683598,0.0515200689871373,-0.259553689510335,0.034351698294039,-0.168319640269639,0.170301158020814,-0.124960207256036,0.15111074384129,-0.0318321797436614,0.807164309550499,DOWN,6,TRUE,1,0.05344739775497849,0.11386531497797861,FALSE,FALSE,,FALSE,,0
ENSG00000139613.11,ENSG00000139613,SMARCC2,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,FALSE,FALSE,D,canonical_protein_target,NOT_PRIMARY_DE,-0.0901416155131542,0.216577040970812,0.175933183656963,6.38267233271186,6.37752718573662,6.43188113522908,-0.0972008000746287,0.22319282103422,-0.0610498542505562,0.403978706489534,-0.0940502235729515,0.203738840332954,-0.0924187472658486,0.217853347236102,-0.17044954436429,0.00113120875305161,-0.0533529042537104,0.515058344535533,DOWN,6,TRUE,1,0.018075472912036247,0.080307928851135801,FALSE,FALSE,,FALSE,,0
ENSG00000282935.1,ENSG00000282935,DUX4L34,unprocessed_pseudogene,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,FALSE,FALSE,C,noncanonical_target_modality,NOT_PRIMARY_DE,0.540768070860001,0.216578886358485,0.175945307465041,-4.10780876729452,-3.22899127712748,-3.91666252833372,0.75031144975947,0.113710491689026,0.55876024560626,0.148463877548424,0.645542682934059,0.117939568215683,0.561117321827595,0.211743904928897,0.520832290328633,0.138177592241086,0.348334541918086,0.515374174324977,UP,6,TRUE,0,0.062561931520826009,0.20954337889946895,FALSE,TRUE,S1,TRUE,S6,12
ENSG00000177354.11,ENSG00000177354,C10orf71,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,FALSE,FALSE,C,canonical_protein_target,NOT_PRIMARY_DE,0.535471620654715,0.216578886358485,0.175949313473427,-4.56344951542773,-3.47390281894237,-4.12064095154363,0.503805959303619,0.29048189605534,0.476121632362831,0.243236929232053,0.560850221790558,0.146332260588645,0.699606263597702,0.0949161952825336,0.509514931217577,0.1304254898179,1.428574617744,0.00120282897261937,UP,6,TRUE,1,0.045507824821489962,0.89310299708928498,FALSE,FALSE,,TRUE,S3;S4;S6,10
ENSG00000185513.14,ENSG00000185513,L3MBTL1,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,FALSE,FALSE,D,canonical_protein_target,NOT_PRIMARY_DE,0.186694175103758,0.216590543139832,0.17596609924145,2.23430851925549,2.31037451506746,1.6650409520722,0.197338206358263,0.231768483527319,0.524296210254505,0.00083582649862064,0.386402832362294,0.0100350518200034,0.193303280906269,0.210445651563188,0.0315003450413975,0.794698959426862,0.235508302616815,0.0775500693352916,UP,6,TRUE,2,0.10200397878770874,0.33760203515074705,FALSE,FALSE,,FALSE,,0
ENSG00000198650.10,ENSG00000198650,TAT,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,FALSE,FALSE,D,canonical_protein_target,NOT_PRIMARY_DE,0.298248737204963,0.216762728838907,0.176113310798185,-1.39565680148049,-1.21409138695158,-1.65892377520511,0.325226424096325,0.214185204278495,0.365568018044615,0.104470602772418,0.249521197267553,0.31451801721291,0.228975679653595,0.381948785598013,0.39104818604956,0.0366584150098908,0.423649867722972,0.129110783362276,UP,6,TRUE,1,0.068296169195509987,0.125401130518009,FALSE,FALSE,,FALSE,,0
