"expression_record_index","expression_record_name","case_submitter_id","tcga_sample_barcode","sample_type","aliquot_barcode","exclusion_reason","evidence_type","evidence_source","current_gdc_is_ffpe","historical_annotation"
221,"80dfb314-f214-41c8-ad2e-c82b934f123b","TCGA-44-2668","TCGA-44-2668-01","Primary Tumor","TCGA-44-2668-01A-01R-A278-07","excluded_exact_historical_noncanonical_FFPE_validation_aliquot","historical_aliquot_level_noncanonical_FFPE_validation_annotation","https://gdac.broadinstitute.org/runs/stddata__2014_04_16/samples_report/FFPE_Cases.html",FALSE,"Item is noncanonical; FFPE Validation"
590,"e0054a9c-7eb8-4d49-9664-235011c3f8e4","TCGA-44-3917","TCGA-44-3917-01","Primary Tumor","TCGA-44-3917-01A-01R-A278-07","excluded_exact_historical_noncanonical_FFPE_validation_aliquot","historical_aliquot_level_noncanonical_FFPE_validation_annotation","https://gdac.broadinstitute.org/runs/stddata__2014_04_16/samples_report/FFPE_Cases.html",FALSE,"Item is noncanonical; FFPE Validation"
209,"d8f424e9-2419-42ce-b1fc-cdf13909dd30","TCGA-44-3918","TCGA-44-3918-01","Primary Tumor","TCGA-44-3918-01A-01R-A278-07","excluded_exact_historical_noncanonical_FFPE_validation_aliquot","historical_aliquot_level_noncanonical_FFPE_validation_annotation","https://gdac.broadinstitute.org/runs/stddata__2014_04_16/samples_report/FFPE_Cases.html",FALSE,"Item is noncanonical; FFPE Validation"
433,"cf17078f-4197-4139-828b-24c576b8770a","TCGA-44-4112","TCGA-44-4112-01","Primary Tumor","TCGA-44-4112-01A-01R-A278-07","excluded_exact_historical_noncanonical_FFPE_validation_aliquot","historical_aliquot_level_noncanonical_FFPE_validation_annotation","https://gdac.broadinstitute.org/runs/stddata__2014_04_16/samples_report/FFPE_Cases.html",FALSE,"Item is noncanonical; FFPE Validation"
32,"c512c21c-e3d1-4e82-b8f7-8519986963be","TCGA-44-5645","TCGA-44-5645-01","Primary Tumor","TCGA-44-5645-01A-01R-A278-07","excluded_exact_historical_noncanonical_FFPE_validation_aliquot","historical_aliquot_level_noncanonical_FFPE_validation_annotation","https://gdac.broadinstitute.org/runs/stddata__2014_04_16/samples_report/FFPE_Cases.html",FALSE,"Item is noncanonical; FFPE Validation"
485,"cbc653f9-7b87-48f6-945d-700e98e0ca5c","TCGA-44-6146","TCGA-44-6146-01","Primary Tumor","TCGA-44-6146-01A-11R-A278-07","excluded_exact_historical_noncanonical_FFPE_validation_aliquot","historical_aliquot_level_noncanonical_FFPE_validation_annotation","https://gdac.broadinstitute.org/runs/stddata__2014_04_16/samples_report/FFPE_Cases.html",FALSE,"Item is noncanonical; FFPE Validation"
155,"9cd2b2f8-c2d8-4818-b9b6-1658580cc30b","TCGA-44-6147","TCGA-44-6147-01","Primary Tumor","TCGA-44-6147-01A-11R-A278-07","excluded_exact_historical_noncanonical_FFPE_validation_aliquot","historical_aliquot_level_noncanonical_FFPE_validation_annotation","https://gdac.broadinstitute.org/runs/stddata__2014_04_16/samples_report/FFPE_Cases.html",FALSE,"Item is noncanonical; FFPE Validation"
357,"4654d683-9f0b-4ee2-bf85-5e90ce0abbcb","TCGA-44-6775","TCGA-44-6775-01","Primary Tumor","TCGA-44-6775-01A-11R-A278-07","excluded_exact_historical_noncanonical_FFPE_validation_aliquot","historical_aliquot_level_noncanonical_FFPE_validation_annotation","https://gdac.broadinstitute.org/runs/stddata__2014_04_16/samples_report/FFPE_Cases.html",FALSE,"Item is noncanonical; FFPE Validation"
600,"8690fa0f-9c1c-4d97-813a-3fb56827fbfc","TCGA-50-5066","TCGA-50-5066-02","Recurrent Tumor","TCGA-50-5066-02A-11R-2090-07","excluded_nonprimary_sample_type:Recurrent Tumor","current_GDC_sample_type","recount3 colData: tcga.gdc_cases.samples.sample_type",FALSE,""
496,"375fe390-434b-41d3-9029-84065b1d7b6f","TCGA-50-5946","TCGA-50-5946-02","Recurrent Tumor","TCGA-50-5946-02A-11R-2090-07","excluded_nonprimary_sample_type:Recurrent Tumor","current_GDC_sample_type","recount3 colData: tcga.gdc_cases.samples.sample_type",FALSE,""
