"tcga_sample_barcode","case_submitter_id","relationship","first_expression_record_index","first_aliquot_barcode","first_candidate_status","second_expression_record_index","second_aliquot_barcode","second_candidate_status","raw_read_counts_exactly_identical","raw_read_count_pearson","raw_read_count_spearman","maximum_absolute_read_count_difference","first_read_count_library_size","second_read_count_library_size","second_to_first_library_size_ratio","first_star_all_mapped_reads","second_star_all_mapped_reads"
"TCGA-44-3918-01","TCGA-44-3918","different_vials_same_TCGA_sample_type",209,"TCGA-44-3918-01A-01R-A278-07","ffpe_exclude_candidate",328,"TCGA-44-3918-01B-02R-A277-07","ffpe_exclude_candidate",FALSE,0.762014642041913,0.932607857801603,2999479,62511837,26408484,0.422455734263576,89514465,90987352
"TCGA-44-3918-01","TCGA-44-3918","different_vials_same_TCGA_sample_type",238,"TCGA-44-3918-01A-01R-1107-07","canonical_candidate",328,"TCGA-44-3918-01B-02R-A277-07","ffpe_exclude_candidate",FALSE,0.119172541639594,0.851876596157159,1675417,75935746,26408484,0.347774077310046,76434398,90987352
"TCGA-44-4112-01","TCGA-44-4112","same_analyte_multiple_aliquots",251,"TCGA-44-4112-01A-01R-1107-07","canonical_candidate",433,"TCGA-44-4112-01A-01R-A278-07","ffpe_exclude_candidate",FALSE,0.0446196394879673,0.899021691267987,8930641,65704468,71042134,1.08123748905478,66125702,92918542
"TCGA-44-4112-01","TCGA-44-4112","different_vials_same_TCGA_sample_type",251,"TCGA-44-4112-01A-01R-1107-07","canonical_candidate",438,"TCGA-44-4112-01B-06R-A277-07","ffpe_exclude_candidate",FALSE,0.0980388102412823,0.853850998673848,2075638,65704468,30361275,0.462088438186578,66125702,96750365
"TCGA-44-4112-01","TCGA-44-4112","different_vials_same_TCGA_sample_type",433,"TCGA-44-4112-01A-01R-A278-07","ffpe_exclude_candidate",438,"TCGA-44-4112-01B-06R-A277-07","ffpe_exclude_candidate",FALSE,0.645495632881116,0.923010274839019,8113351,71042134,30361275,0.427369974556226,92918542,96750365
"TCGA-44-5645-01","TCGA-44-5645","same_analyte_multiple_aliquots",32,"TCGA-44-5645-01A-01R-A278-07","ffpe_exclude_candidate",125,"TCGA-44-5645-01A-01R-1628-07","canonical_candidate",FALSE,0.16032385518793,0.924315255719897,3532979,66258928,41555975,0.62717548041224,94742164,42733172
"TCGA-44-5645-01","TCGA-44-5645","different_vials_same_TCGA_sample_type",32,"TCGA-44-5645-01A-01R-A278-07","ffpe_exclude_candidate",213,"TCGA-44-5645-01B-04R-A277-07","ffpe_exclude_candidate",FALSE,0.302695298770788,0.927024592388298,3241054,66258928,30530605,0.460777225372557,94742164,112820251
"TCGA-44-5645-01","TCGA-44-5645","different_vials_same_TCGA_sample_type",125,"TCGA-44-5645-01A-01R-1628-07","canonical_candidate",213,"TCGA-44-5645-01B-04R-A277-07","ffpe_exclude_candidate",FALSE,0.101890382691109,0.859533387805207,2983253,41555975,30530605,0.734686287591616,42733172,112820251
"TCGA-44-6146-01","TCGA-44-6146","different_vials_same_TCGA_sample_type",151,"TCGA-44-6146-01A-11R-1755-07","canonical_candidate",317,"TCGA-44-6146-01B-04R-A277-07","ffpe_exclude_candidate",FALSE,0.360881779470518,0.857545239999598,5340775,61068955,27160496,0.444751281563603,62265000,90170165
"TCGA-44-6146-01","TCGA-44-6146","same_analyte_multiple_aliquots",151,"TCGA-44-6146-01A-11R-1755-07","canonical_candidate",485,"TCGA-44-6146-01A-11R-A278-07","ffpe_exclude_candidate",FALSE,0.209283946150008,0.92894568176072,5174083,61068955,38084666,0.623633825075278,62265000,93750973
"TCGA-44-6146-01","TCGA-44-6146","different_vials_same_TCGA_sample_type",317,"TCGA-44-6146-01B-04R-A277-07","ffpe_exclude_candidate",485,"TCGA-44-6146-01A-11R-A278-07","ffpe_exclude_candidate",FALSE,0.54662953750968,0.895426339052609,1369323,27160496,38084666,1.40220804509608,90170165,93750973
"TCGA-44-6147-01","TCGA-44-6147","different_vials_same_TCGA_sample_type",155,"TCGA-44-6147-01A-11R-A278-07","ffpe_exclude_candidate",295,"TCGA-44-6147-01B-06R-A277-07","ffpe_exclude_candidate",FALSE,0.164071744112448,0.908134552773006,3378518,55512888,23460224,0.422608602168203,87489922,93723911
"TCGA-44-6147-01","TCGA-44-6147","same_analyte_multiple_aliquots",155,"TCGA-44-6147-01A-11R-A278-07","ffpe_exclude_candidate",560,"TCGA-44-6147-01A-11R-1755-07","canonical_candidate",FALSE,0.123323202973112,0.92287974093731,3413233,55512888,48571818,0.874964710897405,87489922,50001973
"TCGA-44-6147-01","TCGA-44-6147","different_vials_same_TCGA_sample_type",295,"TCGA-44-6147-01B-06R-A277-07","ffpe_exclude_candidate",560,"TCGA-44-6147-01A-11R-1755-07","canonical_candidate",FALSE,0.232623477194901,0.840456030905198,976755,23460224,48571818,2.07039020599292,93723911,50001973
"TCGA-44-6775-01","TCGA-44-6775","different_vials_same_TCGA_sample_type",156,"TCGA-44-6775-01C-02R-A277-07","ffpe_exclude_candidate",357,"TCGA-44-6775-01A-11R-A278-07","ffpe_exclude_candidate",FALSE,0.397309745032333,0.907786478526653,911236,22506334,45257498,2.01087827097918,78151422,102645661
"TCGA-44-6775-01","TCGA-44-6775","different_vials_same_TCGA_sample_type",156,"TCGA-44-6775-01C-02R-A277-07","ffpe_exclude_candidate",422,"TCGA-44-6775-01A-11R-1858-07","canonical_candidate",FALSE,0.218443980719656,0.847668733058961,880333,22506334,48296103,2.1458893749644,78151422,49371867
"TCGA-44-6775-01","TCGA-44-6775","same_analyte_multiple_aliquots",357,"TCGA-44-6775-01A-11R-A278-07","ffpe_exclude_candidate",422,"TCGA-44-6775-01A-11R-1858-07","canonical_candidate",FALSE,0.374516608873853,0.927580253724138,1084495,45257498,48296103,1.06714036644271,102645661,49371867
