release_candidate_id,partition_strategy_version,partition_id,artifact_role,relative_path,artifact_id,schema_version,profile_count,provenance_link_count,file_size_bytes,sha256,generator_version,storage_reference_status,storage_reference,validation_status
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p8b,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p8b/profile_provenance_links.csv,ART_818E9A5427CE43FE228B278C,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,120,4200,2577577,ad9053dd76790340a725a1e22d4d92578577984fa52d0d07c815df7108ccab96,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p8b/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p8c,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p8c/profiles.jsonl,ART_9EB0F370F88FD356ED207B93,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,141,0,2682626,261299b5067ff137bb0e21fdf684bbcfa6691de2d494b192331ca67ba427f830,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p8c/profiles.jsonl,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p8c,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p8c/profile_provenance_links.csv,ART_5DB76D771B006B6271A1DC1C,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,141,4935,3027859,a4b0711484330c32856b2f022a31b3b8f921363de3214e877bc0e6be0cd7d313,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p8c/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p8d,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p8d/profiles.jsonl,ART_E88B594B4E9175A34585DDE0,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,118,0,2244942,ed0e0b92a245e239a506ba7120721fb770561148b579c7ad99e4cfce3467bb27,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p8d/profiles.jsonl,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p8d,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p8d/profile_provenance_links.csv,ART_BE62F87CB0F30E932A033704,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,118,4130,2532913,a8b33dd4aa1df1c19bb61bd82ccbdb928f6f245f7fc50648df86a16ca11a113c,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p8d/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p8e,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p8e/profiles.jsonl,ART_A3EE2A0B66771D02EF9D6825,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,96,0,1826323,566033e23d981a1d60a01870177888512c48b84e97dc7ee074788a058a44d9b7,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p8e/profiles.jsonl,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p8e,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p8e/profile_provenance_links.csv,ART_A7F0B2F44F58DB00E7168FF0,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,96,3360,2060614,32a12f70070c2e4989398d50a52fe86b429a82a25ef3d23747b937d60ae3b343,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p8e/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p8f,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p8f/profiles.jsonl,ART_1656C4226EC4B7510992B319,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,123,0,2340117,312d9451fc91172116cdbc3e26b1dfb0cc085e4abb6b90d1ddcd694a79b4ab6c,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p8f/profiles.jsonl,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p8f,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p8f/profile_provenance_links.csv,ART_20694B11AF8BE5E8DAFAB22D,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,123,4305,2641598,afb47f4105e1067b7f4b32ab1fc6f5b94b8fc829da8a6ae4d5117a34c23d6b93,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p8f/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p90,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p90/profiles.jsonl,ART_E0C1692A06A0CA7009618177,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,116,0,2206936,4e17a49cfc8dd1c2db5a422e66101e856aa37958a221829d8973f544dbfcf0e2,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p90/profiles.jsonl,PASS
