"model","pearson_logFC","spearman_logFC","sign_concordance","genes_compared","delta_logFC_median","delta_logFC_median_absolute","delta_logFC_maximum_absolute"
"S1",0.9994228019265,0.999112592612751,0.987840302641356,29606,-0.000444539303444486,0.0205773350293515,0.3911185405019
"S2",0.993522976549327,0.985844753314845,0.945956900628251,29606,-0.0117616091250515,0.0734375595673651,0.72843577031926
"S3",0.99622163366042,0.992201733074184,0.958724582854827,29606,-0.00081351078915752,0.0585378452650465,0.548414472809475
"S4",0.998190283539825,0.997383432607416,0.979868945484023,29606,0.000118490497084532,0.0304767894614675,0.627556483501453
"S5",0.997168497903676,0.996029272934459,0.971694926704046,29606,-0.00423640540418899,0.0418361283615028,0.73385327628819
"S6",0.985479841463877,0.984541108969857,0.949368371276093,29606,0.0647380247879315,0.076170866099,2.83303173829167
