"EnsemblID","Symbol","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B","mean_logCPM_Tumor","mean_logCPM_Normal"
"ENSG00000248551.1","RP11-287F9.2","lincRNA",-4.40540957433006,-5.5304691547512,-31.956167555534,4.51516234613527e-128,1.33675896419681e-123,280.123154252056,-4.50618113042714,-1.32068255123567
"ENSG00000108576.9","SLC6A4","protein_coding",-8.03892661396647,-0.376985723630431,-30.4273771063332,1.59147854012348e-120,2.35586568294479e-116,264.595026196115,-1.01145154823125,6.62628339895313
"ENSG00000186994.11","KANK3","protein_coding",-3.0354138601341,2.37203032923298,-29.8895895268736,7.58593239114551e-118,7.48630381240846e-114,258.495585860441,2.08890140550675,4.93043556500215
"ENSG00000224215.1","RP11-371A19.2","antisense",-5.54901404902322,-3.63360134111278,-29.7795607130429,2.68762815672219e-117,1.98924798019793e-113,256.531214901684,-3.48211458617195,1.45440933086031
"ENSG00000244215.1","LINC02016","lincRNA",-5.7632558388681,-4.59656717118,-28.6568624058485,1.15007312925659e-111,6.80981301295413e-108,243.415979431324,-4.01935535774798,0.545638766724062
"ENSG00000182010.10","RTKN2","protein_coding",-4.61631454046385,3.62980073139095,-28.3790929644853,2.88974916601015e-110,1.42589856348161e-106,241.103207186556,3.16344487134583,7.74948958722288
"ENSG00000237167.1","AC128709.2","lincRNA",-4.40385345271415,-5.24347543741152,-28.0801066797875,9.34910421353113e-109,3.95413684779718e-105,236.474034251491,-4.36504082067592,-1.06399309856157
"ENSG00000180440.3","SERTM1","protein_coding",-7.27744991875895,-2.9068925834938,-27.4523832506096,1.41192951865661e-105,5.22519816616846e-102,230.077091425272,-2.91192804221294,3.70046718118183
"ENSG00000198358.4","RP11-544M22.1","antisense",-6.65727329545503,-3.53418814122059,-26.8953561474677,9.55353732653766e-103,3.14268917877193e-99,223.409828292636,-3.33679592718328,2.32624464977842
"ENSG00000170323.8","FABP4","protein_coding",-6.15993807888664,1.20596964964561,-26.8049835046323,2.75501142659386e-102,8.15648682957377e-99,222.773712931494,0.635168891290697,6.76312713130658
"ENSG00000266120.1","RP11-354P11.2","antisense",-4.16500164669135,-5.2914641253189,-26.6629409850695,1.45701711080221e-101,3.92149532567364e-98,220.060147603845,-4.37854148304623,-1.43340012311336
"ENSG00000261863.1","LINC01996","lincRNA",-6.01706649451424,-3.70337337102405,-26.4541976595416,1.68786790710793e-100,4.16425143815311e-97,218.215494532677,-3.45773120727465,1.64685720072888
"ENSG00000163815.5","CLEC3B","protein_coding",-4.0195512038614,3.6763048148074,-26.3612238597216,5.02925400911989e-100,1.1453545707231e-96,217.578556451151,3.2742640764123,7.22939456963212
"ENSG00000158764.6","ITLN2","protein_coding",-7.59235078438189,-1.66862881044509,-25.9623480822765,5.46821602037587e-98,1.15637145356606e-94,212.851994668612,-1.93989068005011,4.92499707751999
