"EnsemblID","Symbol","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B","mean_logCPM_Tumor","mean_logCPM_Normal"
"ENSG00000260647.1","RP1-178F10.1","antisense",-0.603373535999892,-3.00380681088119,-4.65810320959662,3.99563582271129e-06,9.31161792877759e-06,3.3945497886352,-2.73215201242558,-2.45186636870888
"ENSG00000072210.18","ALDH3A2","protein_coding",-0.65426441638121,6.97776502959477,-4.65757529477077,4.0055062161882e-06,9.33388563844691e-06,2.55319092785111,6.92839115611413,7.41220243063862
"ENSG00000107443.15","CCNJ","protein_coding",0.428821311350554,3.23225134865397,4.65727594799654,4.01111349164075e-06,9.34621643581898e-06,2.85093304179316,3.27523849229962,2.89638744298585
"ENSG00000131094.3","C1QL1","protein_coding",1.42926299334744,-2.53151040426486,4.65698964984023,4.01648340097776e-06,9.35799225382448e-06,3.41703351039744,-2.11414931309779,-3.13250956014159
"ENSG00000151332.18","MBIP","protein_coding",-0.676578508423183,5.86888891308616,-4.65685663058365,4.01898070706791e-06,9.36307387578317e-06,2.5469605603891,5.81343922619459,6.36079144731562
"ENSG00000163320.10","CGGBP1","protein_coding",-0.232211575713658,6.18369553719196,-4.65636133223826,4.02829257618115e-06,9.38402942878425e-06,2.54119437495825,6.154840849509,6.44042575712071
"ENSG00000135750.14","KCNK1","protein_coding",1.08969780037869,4.57209982716071,4.65623697553855,4.03063380173651e-06,9.38874463683802e-06,2.70316166940284,4.67687124239312,3.70685536486143
"ENSG00000196204.11","RNF216P1","transcribed_unprocessed_pseudogene",0.341664890678041,3.69169225911175,4.65585006112185,4.03792648728019e-06,9.40499186393023e-06,2.77761357486952,3.73023026908719,3.38304407776198
"ENSG00000166260.10","COX11","protein_coding",0.308280377316105,5.5483435819031,4.65580981031494,4.03868587497819e-06,9.40602061159568e-06,2.56962698811423,5.57625148683655,5.31245713176788
"ENSG00000104872.10","PIH1D1","protein_coding",0.282640788798882,5.38090425138387,4.65578187521762,4.03921299028417e-06,9.40650828210125e-06,2.589379247018,5.41538681062141,5.08845142835
