EnsemblID,discovery_status,mechanistic_status,development_status,risk_status,evidence_maturity_status,missing_evidence_domains,known_uncertainties,recommended_future_evidence_type
ENSG00000271699.5,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000249307.5,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000268400.5,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000257543.1,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000260657.2,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000105426.16,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|TARGET_SAFETY_LIABILITY
ENSG00000114737.15,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000157379.13,PARTIAL,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000115998.7,PARTIAL,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000039600.10,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000229828.2,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
