EnsemblID,discovery_status,mechanistic_status,development_status,risk_status,evidence_maturity_status,missing_evidence_domains,known_uncertainties,recommended_future_evidence_type
ENSG00000248551.1,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000108576.9,OBSERVED,MISSING,PARTIAL,PARTIAL,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE
ENSG00000186994.11,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000224215.1,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000244215.1,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000182010.10,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000237167.1,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000180440.3,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000198358.4,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000170323.8,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|TARGET_SAFETY_LIABILITY
ENSG00000266120.1,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000261863.1,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000163815.5,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000158764.6,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000135604.9,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000165312.6,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|TARGET_SAFETY_LIABILITY
ENSG00000235387.2,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000234281.5,PARTIAL,MISSING,MISSING,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|TRACTABILITY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|MODALITY_SPECIFIC_TRACTABILITY|TARGET_SAFETY_LIABILITY
ENSG00000105227.14,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000034971.16,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|TARGET_SAFETY_LIABILITY
ENSG00000120156.20,OBSERVED,MISSING,PARTIAL,PARTIAL,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE
ENSG00000132622.10,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000131477.10,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|TARGET_SAFETY_LIABILITY
ENSG00000150625.16,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000183090.5,PARTIAL,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000072163.19,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000130307.11,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000171819.4,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000168309.16,OBSERVED,MISSING,PARTIAL,MISSING,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|PHARMACOLOGY|SAFETY_LIABILITY,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION|TEMPORAL_UNCERTAINTY,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|COMPOUND_ACTIVITY_POTENCY_MECHANISM|TARGET_SAFETY_LIABILITY
ENSG00000120903.12,PARTIAL,MISSING,PARTIAL,PARTIAL,PARTIAL,GENETIC_EVIDENCE|FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_EVIDENCE|CLINICAL_DEVELOPMENT|NORMAL_TISSUE_CONTEXT|ESSENTIALITY|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION,DEPENDENCY_UNCERTAIN|INCOMPLETE_COVERAGE|SOURCE_LIMITATION,CANCER_GENETIC_EVIDENCE|CRISPR_FUNCTIONAL_DEPENDENCY|PERTURBATIONAL_MECHANISM|TRIAL_LEVEL_CLINICAL_DEVELOPMENT|NORMAL_TISSUE_EXPRESSION|ESSENTIALITY_GENETIC_CONSTRAINT|TOXICITY_EVIDENCE|LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL
