EnsemblID,EnsemblID_base,Symbol,gene_type,U2_effect_supported_DE,OpenTargets_target_ID,tractability_retrieval_status,tractability_record_count,tractability_true_assessment_count,tractability_true_SM_count,tractability_true_AB_count,tractability_true_PR_count,tractability_true_OC_count,tractability_true_assessment_ids_by_modality_json,safety_retrieval_status,safety_liability_record_count,source_name,source_release
ENSG00000198938.2,ENSG00000198938,MT-CO3,protein_coding,FALSE,ENSG00000198938,TRACTABILITY_RECORD_PRESENT,28,2,1,1,0,0,"{""AB"":[""UniProt SigP or TMHMM""],""SM"":[""Structure with Ligand""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000144852.17,ENSG00000144852,NR1I2,protein_coding,FALSE,ENSG00000144852,TRACTABILITY_RECORD_PRESENT,28,6,4,0,2,0,"{""PR"":[""Database Ubiquitination"",""Small Molecule Binder""],""SM"":[""Druggable Family"",""High-Quality Ligand"",""High-Quality Pocket"",""Structure with Ligand""]}",SAFETY_RECORD_PRESENT,17,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000156869.12,ENSG00000156869,FRRS1,protein_coding,FALSE,ENSG00000156869,TRACTABILITY_RECORD_PRESENT,28,3,0,1,2,0,"{""AB"":[""UniProt SigP or TMHMM""],""PR"":[""Database Ubiquitination"",""Half-life Data""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000236883.1,ENSG00000236883,AP001615.9,antisense,FALSE,ENSG00000236883,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000203818.7,ENSG00000203818,HIST2H3PS2,protein_coding,FALSE,NOT_FOUND,TARGET_NOT_MAPPED,0,0,0,0,0,0,{},TARGET_NOT_MAPPED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000283303.1,ENSG00000283303,RP11-109E12.5,antisense,FALSE,ENSG00000283303,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000227740.1,ENSG00000227740,RP11-318C24.2,lincRNA,FALSE,ENSG00000227740,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000228882.1,ENSG00000228882,CICP9,processed_pseudogene,FALSE,ENSG00000228882,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000117298.14,ENSG00000117298,ECE1,protein_coding,FALSE,ENSG00000117298,TRACTABILITY_RECORD_PRESENT,28,11,5,3,3,0,"{""AB"":[""GO CC high conf"",""UniProt SigP or TMHMM"",""UniProt loc high conf""],""PR"":[""Database Ubiquitination"",""Half-life Data"",""Small Molecule Binder""],""SM"":[""Advanced Clinical"",""Druggable Family"",""High-Quality Ligand"",""High-Quality Pocket"",""Structure with Ligand""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000234694.1,ENSG00000234694,RP1-92O14.3,antisense,FALSE,ENSG00000234694,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
