"expression_column_index","expression_column_name","external_id","case_id","case_submitter_id","sample_id","sample_submitter_id","aliquot_id","aliquot_submitter_id","sample_type","group","n_expression_records_for_aliquot"
412,"5ba6fb84-12f9-4106-a93a-82f2ad963dcf","5ba6fb84-12f9-4106-a93a-82f2ad963dcf","0ea4920f-f4c8-4590-84b3-eb419824e144","TCGA-38-4625","cc72dc0d-9c39-4217-b5cb-8cad390d7e86","TCGA-38-4625-01A","bc6c762f-727f-43c8-a4bc-4c41351c7f13","TCGA-38-4625-01A-01R-1206-07","Primary Tumor","tumor",2
417,"8c5989ff-9bac-4086-8d37-f7fa689fdbf1","8c5989ff-9bac-4086-8d37-f7fa689fdbf1","0ea4920f-f4c8-4590-84b3-eb419824e144","TCGA-38-4625","cc72dc0d-9c39-4217-b5cb-8cad390d7e86","TCGA-38-4625-01A","bc6c762f-727f-43c8-a4bc-4c41351c7f13","TCGA-38-4625-01A-01R-1206-07","Primary Tumor","tumor",2
