external_provenance_link_id,external_evidence_id,EnsemblID,publication_id,PMID,PMCID,DOI,source_location,dataset_or_cohort,model_system,raw_payload_path,raw_payload_sha256,source_entity,identifier_reconciliation,provenance_status
EXTPROV_D4491972FCF278F9A42E,EXT_39672019_02,ENSG00000099953.9,PUB_PMID_39672019,39672019,NOT_AVAILABLE,10.1016/j.intimp.2024.113713,Abstract/Results,LUAD_SURVIVAL_2025,Human LUAD cohort,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:39672019,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_37A6C200B6B7B8523B01,EXT_40552583_01,ENSG00000099953.9,PUB_PMID_40552583,40552583,PMC12407355,10.1002/advs.202502774,LUAD-resolved pan-cancer results,LUAD_PANCANCER_SC_2025,Human pan-cancer single-cell datasets with LUAD-resolved analysis,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:40552583,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_EC8968109DCA2E1080B8,EXT_34671675_01,ENSG00000099953.9,PUB_PMID_34671675,34671675,PMC8523254,10.1155/2021/5516218,Results/network module,GSE19804,Nonsmoking female lung tumours,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:34671675,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_B832AAE52C50C811B63F,EXT_34671675_02,ENSG00000099953.9,PUB_PMID_34671675,34671675,PMC8523254,10.1155/2021/5516218,Figure 6e,KM_PLOTTER_2021,Lung-cancer survival cohort,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:34671675,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_6614CCD380BB2F8DB10D,EXT_35422093_01,ENSG00000099953.9,PUB_PMID_35422093,35422093,PMC9010460,10.1038/s41419-022-04808-7,Results/supplementary microarray,COHORT_2022_LUAD_4,Four primary LUAD samples,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:35422093,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_2EECB8E24EB92EBDDC37,EXT_29568911_01,ENSG00000099953.9,PUB_PMID_29568911,29568911,PMC5928655,10.3892/mmr.2018.8772,Results/Figures,MODEL_MIR25_A549_CALU1,A549 and Calu-1 cells,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:29568911,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_FCB99B23AE7F8D703DD9,EXT_29796998_01,ENSG00000099953.9,PUB_PMID_29796998,29796998,NOT_AVAILABLE,10.1007/s12094-018-1894-4,Results/Abstract,COHORT_2018_ONE_PATIENT,MSCs from one LUAD patient plus A549 co-culture,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:29796998,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_99823F06E498D1C00B20,EXT_31570432_01,ENSG00000099953.9,PUB_PMID_31570432,31570432,NOT_AVAILABLE,10.21873/anticanres.13731,Abstract/Results,COHORT_2019_GENOTYPE_1074,Taiwanese lung-cancer cases and controls,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:31570432,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_63154F31FD1AAC1800D2,EXT_30825234_01,ENSG00000099953.9,PUB_PMID_30825234,30825234,NOT_AVAILABLE,10.1002/jcb.28523,Abstract/Results,COHORT_SPOCK1_NSCLC,Human NSCLC tissue,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:30825234,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_D80B182E8F1AD48B16B0,EXT_37602450_01,ENSG00000099953.9,PUB_PMID_37602450,37602450,NOT_AVAILABLE,10.1615/CritRevEukaryotGeneExpr.2023047789,Abstract/Results,MODEL_LINC00511_UNRESOLVED,Lung-cancer cells,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:37602450,COMPLETE_PRIMARY_SOURCE_TRACE
