EnsemblID,EnsemblID_base,Symbol,gene_type,U2_effect_supported_DE,OpenTargets_target_ID,ChEMBL_target_ID,ot_target_retrieval_status,ot_target_approved_name,ot_target_approved_symbol,ot_target_biotype,ot_literature_occurrence_count,ot_literature_filtered_count,ot_drug_clinical_candidate_record_count,ot_target_annotation_source,ot_luad_disease_id,ot_luad_disease_name,ot_luad_direct_association_status,ot_luad_direct_association_count,ot_luad_direct_association_score_native,ot_luad_direct_datasource_scores_native_json,ot_luad_direct_datatype_scores_native_json,ot_luad_indirect_association_status,ot_luad_indirect_association_count,ot_luad_indirect_association_score_native,ot_luad_association_source,chembl_target_retrieval_status,chembl_target_record_count,chembl_target_annotations_json,chembl_target_annotation_source
ENSG00000135249.7,ENSG00000135249,RINT1,protein_coding,TRUE,ENSG00000135249,NOT_FOUND,PRESENT,RAD50 interactor 1,RINT1,protein_coding,226,226,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,PRESENT,1,0.0073915970936940375,"[{""id"":""europepmc"",""score"":0.06079307976116211}]","[{""id"":""literature"",""score"":0.06079307976116211}]",PRESENT,1,0.0073915970936940375,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000254512.1,ENSG00000254512,PHBP2,processed_pseudogene,TRUE,ENSG00000254512,NOT_FOUND,PRESENT,PHB1 pseudogene 2,PHB1P2,processed_pseudogene,5,5,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000256944.1,ENSG00000256944,RP11-881M11.1,antisense,TRUE,ENSG00000256944,NOT_FOUND,PRESENT,TMEM109 divergent transcript,TMEM109-DT,lncRNA,0,0,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000167863.11,ENSG00000167863,ATP5H,protein_coding,TRUE,ENSG00000167863,CHEMBL6066999,PRESENT,ATP synthase peripheral stalk subunit d,ATP5PD,protein_coding,654,654,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,PRESENT,1,0.0014783194187388072,"[{""id"":""europepmc"",""score"":0.012158615952232422}]","[{""id"":""literature"",""score"":0.012158615952232422}]",PRESENT,1,0.0014783194187388072,OPEN_TARGETS_PLATFORM_GRAPHQL,PRESENT,1,"[{""organism"":""Homo sapiens"",""pref_name"":""ATP synthase peripheral stalk subunit d, mitochondrial"",""species_group_flag"":false,""target_chembl_id"":""CHEMBL6066999"",""target_type"":""SINGLE PROTEIN"",""tax_id"":9606}]",CHEMBL_TARGET_API
ENSG00000177551.5,ENSG00000177551,NHLH2,protein_coding,TRUE,ENSG00000177551,NOT_FOUND,PRESENT,nescient helix-loop-helix 2,NHLH2,protein_coding,372,372,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000248578.1,ENSG00000248578,NPM1P21,processed_pseudogene,TRUE,ENSG00000248578,NOT_FOUND,PRESENT,nucleophosmin 1 pseudogene 21,NPM1P21,processed_pseudogene,0,0,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000146733.13,ENSG00000146733,PSPH,protein_coding,TRUE,ENSG00000146733,CHEMBL6066362,PRESENT,phosphoserine phosphatase,PSPH,protein_coding,1571,1571,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,PRESENT,1,0.0062248806570217776,"[{""id"":""europepmc"",""score"":0.04821228964392161},{""id"":""expression_atlas"",""score"":0.01193996155040285}]","[{""id"":""literature"",""score"":0.04821228964392161},{""id"":""rna_expression"",""score"":0.01193996155040285}]",PRESENT,1,0.0062840134337713294,OPEN_TARGETS_PLATFORM_GRAPHQL,PRESENT,1,"[{""organism"":""Homo sapiens"",""pref_name"":""Phosphoserine phosphatase"",""species_group_flag"":false,""target_chembl_id"":""CHEMBL6066362"",""target_type"":""SINGLE PROTEIN"",""tax_id"":9606}]",CHEMBL_TARGET_API
ENSG00000164692.17,ENSG00000164692,COL1A2,protein_coding,TRUE,ENSG00000164692,CHEMBL2364188|CHEMBL2685,PRESENT,collagen type I alpha 2 chain,COL1A2,protein_coding,18349,18349,2,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,PRESENT,1,0.014328689419185921,"[{""id"":""europepmc"",""score"":0.10320712603327145},{""id"":""expression_atlas"",""score"":0.0585636173214965}]","[{""id"":""literature"",""score"":0.10320712603327145},{""id"":""rna_expression"",""score"":0.0585636173214965}]",PRESENT,1,0.014328689419185921,OPEN_TARGETS_PLATFORM_GRAPHQL,PRESENT,2,"[{""organism"":""Homo sapiens"",""pref_name"":""Collagen"",""species_group_flag"":false,""target_chembl_id"":""CHEMBL2364188"",""target_type"":""PROTEIN COMPLEX GROUP"",""tax_id"":9606},{""organism"":""Homo sapiens"",""pref_name"":""Collagen alpha-2(I) chain"",""species_group_flag"":false,""target_chembl_id"":""CHEMBL2685"",""target_type"":""SINGLE PROTEIN"",""tax_id"":9606}]",CHEMBL_TARGET_API
ENSG00000236810.5,ENSG00000236810,ELOA-AS1,antisense,TRUE,ENSG00000236810,NOT_FOUND,PRESENT,ELOA antisense RNA 1,ELOA-AS1,lncRNA,3,3,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000275210.1,ENSG00000275210,AC008984.2,processed_transcript,TRUE,ENSG00000275210,NOT_FOUND,PRESENT,novel transcript,ENSG00000275210,lncRNA,0,0,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
